2025-11-27 14:28:21 - INFO - 📝 任务创建: 文件备份任务 (TASK_000001), 延迟: 2.0秒
2025-11-27 14:28:21 - INFO - 📝 周期任务创建: 矩阵乘法任务 (TASK_000002), 间隔: 5.0秒
2025-11-27 14:28:21 - INFO - 📝 任务创建: HTTP GET任务 (TASK_000003), 延迟: 0.0秒
2025-11-27 14:28:21 - INFO - 📝 周期任务创建: 课堂提醒任务 (TASK_000004), 间隔: 15.0秒
2025-11-27 14:28:21 - INFO - 📝 任务创建: 随机数统计任务 (TASK_000005), 延迟: 3.0秒
2025-11-27 14:28:21 - INFO - 🚀 调度器启动
2025-11-27 14:28:21 - INFO - ▶️  任务开始: HTTP GET任务 (TASK_000003), 执行次数: 1
2025-11-27 14:28:22 - INFO - ✅ 任务完成: HTTP GET任务 (TASK_000003), 耗时: 0.514秒
2025-11-27 14:28:23 - INFO - ▶️  任务开始: 文件备份任务 (TASK_000001), 执行次数: 1
2025-11-27 14:28:24 - INFO - ✅ 任务完成: 文件备份任务 (TASK_000001), 耗时: 1.013秒
2025-11-27 14:28:24 - INFO - ▶️  任务开始: 随机数统计任务 (TASK_000005), 执行次数: 1
2025-11-27 14:28:24 - INFO - ✅ 任务完成: 随机数统计任务 (TASK_000005), 耗时: 0.001秒
2025-11-27 14:28:26 - INFO - ▶️  任务开始: 矩阵乘法任务 (TASK_000002), 执行次数: 1
2025-11-27 14:28:26 - INFO - ✅ 任务完成: 矩阵乘法任务 (TASK_000002), 耗时: 0.012秒
2025-11-27 14:28:31 - INFO - ▶️  任务开始: 矩阵乘法任务 (TASK_000002), 执行次数: 2
2025-11-27 14:28:31 - INFO - ✅ 任务完成: 矩阵乘法任务 (TASK_000002), 耗时: 0.012秒
2025-11-27 14:28:36 - INFO - ▶️  任务开始: 课堂提醒任务 (TASK_000004), 执行次数: 1
2025-11-27 14:28:36 - INFO - ✅ 任务完成: 课堂提醒任务 (TASK_000004), 耗时: 0.000秒
2025-11-27 14:28:36 - INFO - ▶️  任务开始: 矩阵乘法任务 (TASK_000002), 执行次数: 3
2025-11-27 14:28:36 - INFO - ✅ 任务完成: 矩阵乘法任务 (TASK_000002), 耗时: 0.012秒
2025-11-27 14:28:41 - INFO - 🛑 调度器停止
2025-11-27 14:35:56 - INFO - 🚀 调度器启动
2025-11-27 14:36:11 - INFO - 📝 任务创建: 文件备份任务 (TASK_000001), 延迟: 2.0秒
2025-11-27 14:36:13 - INFO - ▶️  任务开始: 文件备份任务 (TASK_000001), 执行次数: 1
2025-11-27 14:36:14 - INFO - ✅ 任务完成: 文件备份任务 (TASK_000001), 耗时: 1.001秒
2025-11-27 14:36:18 - INFO - 📝 周期任务创建: 课堂提醒任务 (TASK_000002), 间隔: 15.0秒
2025-11-27 14:36:33 - INFO - ▶️  任务开始: 课堂提醒任务 (TASK_000002), 执行次数: 1
2025-11-27 14:36:33 - INFO - ✅ 任务完成: 课堂提醒任务 (TASK_000002), 耗时: 0.000秒
2025-11-27 14:36:47 - INFO - 📝 任务创建: 随机数统计任务 (TASK_000003), 延迟: 3.0秒
2025-11-27 14:36:48 - INFO - ▶️  任务开始: 课堂提醒任务 (TASK_000002), 执行次数: 2
2025-11-27 14:36:48 - INFO - ✅ 任务完成: 课堂提醒任务 (TASK_000002), 耗时: 0.000秒
2025-11-27 14:36:50 - INFO - ▶️  任务开始: 随机数统计任务 (TASK_000003), 执行次数: 1
2025-11-27 14:36:50 - INFO - ✅ 任务完成: 随机数统计任务 (TASK_000003), 耗时: 0.001秒
2025-11-27 14:37:03 - INFO - ▶️  任务开始: 课堂提醒任务 (TASK_000002), 执行次数: 3
2025-11-27 14:37:03 - INFO - ✅ 任务完成: 课堂提醒任务 (TASK_000002), 耗时: 0.000秒
2025-11-27 14:37:07 - INFO - 🛑 调度器停止
2025-11-27 14:39:44 - INFO - 🚀 调度器启动
2025-11-27 14:39:48 - INFO - 📝 任务创建: 文件备份任务 (TASK_000001), 延迟: 2.0秒
2025-11-27 14:39:50 - INFO - ▶️  任务开始: 文件备份任务 (TASK_000001), 执行次数: 1
2025-11-27 14:39:51 - INFO - ✅ 任务完成: 文件备份任务 (TASK_000001), 耗时: 1.001秒
2025-11-27 14:39:58 - INFO - 📝 周期任务创建: 矩阵乘法任务 (TASK_000002), 间隔: 5.0秒
2025-11-27 14:40:03 - INFO - ▶️  任务开始: 矩阵乘法任务 (TASK_000002), 执行次数: 1
2025-11-27 14:40:03 - INFO - ✅ 任务完成: 矩阵乘法任务 (TASK_000002), 耗时: 0.011秒
2025-11-27 14:40:08 - INFO - 📝 任务创建: HTTP GET任务 (TASK_000003), 延迟: 0.0秒
2025-11-27 14:40:08 - INFO - ▶️  任务开始: HTTP GET任务 (TASK_000003), 执行次数: 1
2025-11-27 14:40:09 - INFO - ✅ 任务完成: HTTP GET任务 (TASK_000003), 耗时: 0.508秒
2025-11-27 14:40:09 - INFO - ▶️  任务开始: 矩阵乘法任务 (TASK_000002), 执行次数: 2
2025-11-27 14:40:09 - INFO - ✅ 任务完成: 矩阵乘法任务 (TASK_000002), 耗时: 0.012秒
2025-11-27 14:40:12 - INFO - 📝 周期任务创建: 课堂提醒任务 (TASK_000004), 间隔: 15.0秒
2025-11-27 14:40:14 - INFO - ▶️  任务开始: 矩阵乘法任务 (TASK_000002), 执行次数: 3
2025-11-27 14:40:14 - INFO - ✅ 任务完成: 矩阵乘法任务 (TASK_000002), 耗时: 0.011秒
2025-11-27 14:40:14 - INFO - 📝 任务创建: 随机数统计任务 (TASK_000005), 延迟: 3.0秒
2025-11-27 14:40:17 - INFO - ▶️  任务开始: 随机数统计任务 (TASK_000005), 执行次数: 1
2025-11-27 14:40:17 - INFO - ✅ 任务完成: 随机数统计任务 (TASK_000005), 耗时: 0.000秒
2025-11-27 14:40:19 - INFO - ▶️  任务开始: 矩阵乘法任务 (TASK_000002), 执行次数: 4
2025-11-27 14:40:19 - INFO - ✅ 任务完成: 矩阵乘法任务 (TASK_000002), 耗时: 0.011秒
2025-11-27 14:40:24 - INFO - ▶️  任务开始: 矩阵乘法任务 (TASK_000002), 执行次数: 5
2025-11-27 14:40:24 - INFO - ✅ 任务完成: 矩阵乘法任务 (TASK_000002), 耗时: 0.012秒
2025-11-27 14:40:27 - INFO - ▶️  任务开始: 课堂提醒任务 (TASK_000004), 执行次数: 1
2025-11-27 14:40:27 - INFO - ✅ 任务完成: 课堂提醒任务 (TASK_000004), 耗时: 0.000秒
2025-11-27 14:40:29 - INFO - ▶️  任务开始: 矩阵乘法任务 (TASK_000002), 执行次数: 6
2025-11-27 14:40:29 - INFO - ✅ 任务完成: 矩阵乘法任务 (TASK_000002), 耗时: 0.011秒
2025-11-27 14:40:34 - INFO - ▶️  任务开始: 矩阵乘法任务 (TASK_000002), 执行次数: 7
2025-11-27 14:40:34 - INFO - ✅ 任务完成: 矩阵乘法任务 (TASK_000002), 耗时: 0.012秒
2025-11-27 14:40:39 - INFO - ▶️  任务开始: 矩阵乘法任务 (TASK_000002), 执行次数: 8
2025-11-27 14:40:39 - INFO - ✅ 任务完成: 矩阵乘法任务 (TASK_000002), 耗时: 0.011秒
2025-11-27 14:48:11 - INFO - 🚀 调度器启动
2025-11-27 14:48:46 - INFO - 📝 周期任务创建: 系统性能监控 (TASK_000001), 间隔: 5.0秒
2025-11-27 14:48:51 - INFO - ▶️  任务开始: 系统性能监控 (TASK_000001), 执行次数: 1
2025-11-27 14:48:52 - INFO - ✅ 任务完成: 系统性能监控 (TASK_000001), 耗时: 1.019秒
2025-11-27 14:48:57 - INFO - 📝 周期任务创建: 网站检查-https://www.baidu.com (TASK_000002), 间隔: 10.0秒
2025-11-27 14:48:57 - INFO - ▶️  任务开始: 系统性能监控 (TASK_000001), 执行次数: 2
2025-11-27 14:48:58 - INFO - ✅ 任务完成: 系统性能监控 (TASK_000001), 耗时: 1.015秒
2025-11-27 14:49:03 - INFO - ▶️  任务开始: 系统性能监控 (TASK_000001), 执行次数: 3
2025-11-27 14:49:04 - INFO - ✅ 任务完成: 系统性能监控 (TASK_000001), 耗时: 1.018秒
2025-11-27 14:49:07 - INFO - ▶️  任务开始: 网站检查-https://www.baidu.com (TASK_000002), 执行次数: 1
2025-11-27 14:49:07 - INFO - ✅ 任务完成: 网站检查-https://www.baidu.com (TASK_000002), 耗时: 0.516秒
2025-11-27 14:49:09 - INFO - ▶️  任务开始: 系统性能监控 (TASK_000001), 执行次数: 4
2025-11-27 14:49:10 - INFO - ✅ 任务完成: 系统性能监控 (TASK_000001), 耗时: 1.017秒
2025-11-27 14:49:13 - INFO - 📝 任务创建: 数据库备份-my_database (TASK_000003), 延迟: 5.0秒
2025-11-27 14:49:15 - INFO - ▶️  任务开始: 系统性能监控 (TASK_000001), 执行次数: 5
2025-11-27 14:49:17 - INFO - ✅ 任务完成: 系统性能监控 (TASK_000001), 耗时: 1.015秒
2025-11-27 14:49:17 - INFO - ▶️  任务开始: 网站检查-https://www.baidu.com (TASK_000002), 执行次数: 2
2025-11-27 14:49:18 - INFO - ✅ 任务完成: 网站检查-https://www.baidu.com (TASK_000002), 耗时: 0.514秒
2025-11-27 14:49:18 - INFO - ▶️  任务开始: 数据库备份-my_database (TASK_000003), 执行次数: 1
2025-11-27 14:49:20 - INFO - ✅ 任务完成: 数据库备份-my_database (TASK_000003), 耗时: 2.008秒
2025-11-27 14:49:22 - INFO - ▶️  任务开始: 系统性能监控 (TASK_000001), 执行次数: 6
2025-11-27 14:49:23 - INFO - ✅ 任务完成: 系统性能监控 (TASK_000001), 耗时: 1.013秒
2025-11-27 14:49:25 - INFO - 🛑 调度器停止
2025-11-27 14:57:43 - INFO - 🚀 调度器启动
2025-11-27 14:57:45 - INFO - 📝 周期任务创建: 系统性能监控 (TASK_000001), 间隔: 5.0秒
2025-11-27 14:57:50 - INFO - ▶️  任务开始: 系统性能监控 (TASK_000001), 执行次数: 1
